,MAE,MAPE,PB,HR,MAD,Tracking Signal
XGBOOST,2.5337084482262773,75.47384589021993,-18.210098674146728,0.23076923076923078,2.5337084482262773,-7.243428292676697
DECISION TREE,2.61231884057971,63.32046526340004,-24.713241669763402,0.09615384615384616,2.61231884057971,-6.761165048543687
MOVING AVERAGE,4.533119658120965,170.1815450845615,92.75878442545107,0.11538461538461539,4.533119658120965,27.303401681192533
SARIMA,2.86262610105868,83.20354614089335,10.060043613479445,0.1346153846153846,2.86262610105868,10.354534249419508
ETS - HW,2.6484619654240324,78.99033362461188,-4.825779055280312,0.21153846153846154,2.6484619654240324,-0.5323375644822789
GAUSSIAN PROCESS,2.3566119810939288,72.71347217848287,5.247019888547571,0.2692307692307692,2.3566119810939288,3.4500457914421245
POISSON,3.283379920683889,120.70530696013435,63.439023721368045,0.21153846153846154,3.283379920683889,21.555421717176404
CROSTON,2.814140345990091,97.56110305993334,31.21369640247683,0.28846153846153844,2.814140345990091,18.434164730537
